,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,(0.11971330994593352+0j),(0.13791337021647718+0j),(-0.0052148847117931205+0j),(0.1400612439131138+0j),(0.18628317966862132+0j),(0.011557919538902329+0j),(-0.10832470820706727+0j),(-0.0013639896695798763+0j),(-0.025579134617781624+0j),(-0.06363823658015132+0j),(0.2794547933565104+0j),(-0.09953009812838587+0j),(-0.6648724548013454+0j),(0.4423866407499715+0j),(-0.056435952341204805+0j),(0.40838889582151844+0j)
1,(0.10026229440243847+0j),(0.022013194070512037+0j),(0.10734043974303041+0j),(-0.07721671296272783+0j),(-0.6765084790754283+0j),(-0.4023988140906039+0j),(0.23546598070970023+0j),(0.11099886547027887+0j),(0.3181487401259388+0j),(0.06614271818660337+0j),(0.17040538698278732+0j),(-0.09046881143873138+0j),(-0.05598152045420056+0j),(0.1128969196106988+0j),(-0.3548530083031923+0j),(0.0029346946578210327+0j)
2,(0.08224968903457282+0j),(-0.13206205720131317+0j),(0.11269823508623655+0j),(0.44503231941738963+0j),(0.023799301650178892+0j),(0.19258808029360266+0j),(0.5303661445060994+0j),(-0.6137887321997159+0j),(-0.006478520096758198+0j),(0.07094940280817517+0j),(0.21838171312874613+0j),(0.05866139600907936+0j),(0.016359719471916553+0j),(-0.06968264947713673+0j),(-0.07929730402097686+0j),(-0.04170873126192003+0j)
3,(-0.09653278729397036+0j),(-0.15255106801649146+0j),(-0.07308783579359077+0j),(-0.13675904346998763+0j),(0.25048788960363494+0j),(0.24717174663929317+0j),(0.17782006041045717+0j),(0.37879489524873217+0j),(0.1497409443338507+0j),(0.18708420126517636+0j),(0.24513322786704442+0j),(0.21026341895374798+0j),(-0.30583976103405314+0j),(-0.45777937058566964+0j),(-0.415295122963301+0j),(-0.08442345017144363+0j)
4,(0.23194319054723153+0j),(-0.1146492695902419+0j),(0.17312190529193938+0j),(0.09016632800662919+0j),(0.1983229750326849+0j),(-0.1661774163879812+0j),(-0.008401606880618244+0j),(0.026088215142419085+0j),(0.5344139435484765+0j),(-0.5991738866877935+0j),(0.022963221190428387+0j),(-0.12251893596424958+0j),(-0.12817336290614417+0j),(-0.2572178192264076+0j),(0.2509966195501456+0j),(-0.14671091702967487+0j)
5,(0.5424441078252086+0j),(0.3952355255051016+0j),(-0.40980560491684753+0j),(-0.27499509014644063+0j),(-0.1104660055495566+0j),(0.12167599493444799+0j),(-0.002445462540099498+0j),(-0.12321290172479907+0j),(-0.13771107486569278+0j),(-0.17814542043516343+0j),(0.34113147765651286+0j),(0.10744363370597454+0j),(0.15123468959818187+0j),(-0.22821646011079855+0j),(0.030197540258538914+0j),(0.09645529741227828+0j)
6,(-0.17451576945867742+0j),(0.1117381724248026+0j),(-0.41852358707855325+0j),(0.6517333546904411+0j),(-0.18918064294634712+0j),(0.10938843776520005+0j),(0.027664577993464896+0j),(0.4148320936447006+0j),(0.06823192479352981+0j),(-0.002012382979118897+0j),(0.1473116008366487+0j),(-0.191725545267573+0j),(0.13087140511262915+0j),(-0.09342313053253275+0j),(0.20461478121232854+0j),(0.07545114525332267+0j)
7,(0.01569354324656661+0j),(-0.19280615312079116+0j),(-0.08435454167331735+0j),(-0.20730979692950613+0j),(0.06966727282349226+0j),(0.029249126657623987+0j),(-0.049831249573520524+0j),(-0.04917105532159443+0j),(0.47259766887894794+0j),(0.4879143692295736+0j),(0.3500683940050887+0j),(0.14323729974098057+0j),(0.12595110996267359+0j),(0.2027258771195642+0j),(0.488831066779686+0j),(0.038540951392991664+0j)
8,(0.2936870503535919+0j),(0.05204496986167115+0j),(0.437670817806391+0j),(0.37409825053996465+0j),(-0.03860575763666232+0j),(-0.05249643185708027+0j),(-0.5292006613218783+0j),(0.092589127497754+0j),(-0.12590331851832734+0j),(0.16791618910271552+0j),(0.28634095697273937+0j),(0.2709715402210841+0j),(0.09514669800318047+0j),(-0.059238266419445455+0j),(-0.10098406810321404+0j),(-0.25384555463720654+0j)
9,(0.11876815017825229+0j),(-0.15384756438861624+0j),(-0.16147888589503018+0j),(0.11663773468212521+0j),(-0.372204004095789+0j),(-0.003380711789626+0j),(-0.1831460881375431+0j),(-0.18265610487616316+0j),(0.041521699950534015+0j),(0.14982815931761373+0j),(-0.4216509044532169+0j),(0.35912397934813495+0j),(-0.4344110121680791+0j),(-0.33874326542516703+0j),(0.2179702634710621+0j),(0.18758800544198787+0j)
10,(0.08156643652227767+0j),(-0.3819782966677778+0j),(0.23097163607257606+0j),(-0.11161376123996575+0j),(-0.268847240894327+0j),(0.554267495191751+0j),(-0.2398192075753097+0j),(-0.010980128682752008+0j),(0.03563548814487335+0j),(-0.09025160072679828+0j),(0.06972518864555254+0j),(-0.38821843642740755+0j),(0.15003397926120685+0j),(-0.09791216273760349+0j),(-0.08919950672127966+0j),(0.373450028681211+0j)
11,(0.2829326595177632+0j),(-0.36617571584379827+0j),(-0.19505549579899864+0j),(0.04245176609722485+0j),(-0.09552696140906232+0j),(0.29382803563035664+0j),(0.13250684888566072+0j),(0.23952721409272684+0j),(-0.00971452630124321+0j),(-0.26863384536799567+0j),(-0.14378350038095294+0j),(0.39292332960313475+0j),(0.043564341891086614+0j),(0.5104906369303283+0j),(-0.0737385555524739+0j),(-0.24569721318663706+0j)
12,(0.03755247593659145+0j),(0.20529813644378023+0j),(0.49488851488489016+0j),(-0.028805221749989476+0j),(-0.03797635916366687+0j),(0.05585815717143863+0j),(0.41260434785329286+0j),(0.35534072688184476+0j),(-0.1322377634803562+0j),(-0.05897036790541128+0j),(-0.03746644126201817+0j),(0.32269539667458386+0j),(0.10155768810460539+0j),(-0.05169462709710306+0j),(0.314450800244306+0j),(0.41383619735021954+0j)
13,(0.3806512989900508+0j),(0.18231982184820222+0j),(-0.047194999503267485+0j),(0.1819540072840211+0j),(0.30634124615496583+0j),(-0.00014996341092870426+0j),(-0.0032535034019230066+0j),(0.03364505604807324+0j),(0.38379824697430126+0j),(0.26658991079717353+0j),(-0.4401630561050995+0j),(-0.04331802382073451+0j),(0.2648084953436322+0j),(0.059116110877066703+0j),(-0.3375207207140768+0j),(0.3000202542800876+0j)
14,(0.4780589689740188+0j),(-0.3902982352016899+0j),(-0.030683375048083543+0j),(0.0015667239210875074+0j),(0.11905222936897579+0j),(-0.28889252352590883+0j),(0.21166545657279323+0j),(0.21589626141461024+0j),(-0.3832392863138747+0j),(0.26933600690729403+0j),(-0.03518891109022333+0j),(-0.3900724070648934+0j),(-0.09284751509332898+0j),(-0.09928054456225947+0j),(0.1814937422576341+0j),(-0.07007822424532026+0j)
15,(-0.13740233771606986+0j),(-0.4320619378948335+0j),(-0.18195989496975487+0j),(0.06651721223613734+0j),(0.14579306907163328+0j),(-0.44902396711050263+0j),(-0.11342800922854789+0j),(-0.060412514170258+0j),(-0.1117845326635542+0j),(-0.21139534813407196+0j),(0.20551917745496484+0j),(0.2911417141106558+0j),(0.27835536021516544+0j),(-0.0677788347615055+0j),(-0.17481345397221837+0j),(0.4697814211868277+0j)
