,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,(-0.06589111109180565+0j),(-0.10180922966571358+0j),(0.3484527180076626+0j),(0.3399692510647877+0j),(0.21686167533757533+0j),(-0.10356926285635198+0j),(-0.34412059875393436+0j),(-0.14254425174113927+0j),(-0.12993021103517713+0j),(-0.5267741221208578+0j),(0.06514165076148876+0j),(0.2795952256053735+0j),(-0.02842722160747317+0j),(-0.14235385623595886+0j),(-0.1959198594982156+0j),(-0.33993285552735086+0j)
1,(-0.017572726462603366+0j),(0.6881744875297432+0j),(0.06646818713319928+0j),(-0.07166340484435028+0j),(0.009110886978611817+0j),(0.2616517956849918+0j),(-0.4422255441987246+0j),(-0.11917050942438714+0j),(-0.2783446467903324+0j),(0.14903530492392109+0j),(0.29549268448166405+0j),(-0.056760795513882537+0j),(0.1918490309271946+0j),(0.07014292843317349+0j),(-0.028647396602954164+0j),(0.07397272733231337+0j)
2,(-0.36039116290474177+0j),(0.005348986754090908+0j),(0.12654755990405017+0j),(-0.07718851369196897+0j),(-0.29175435788249143+0j),(0.4748403490248717+0j),(0.14377466432189578+0j),(0.08359082439289783+0j),(0.18031971362648874+0j),(-0.27446795893563525+0j),(-0.2379342142059805+0j),(-0.1467865137516998+0j),(0.5164434811534334+0j),(-0.006261283710686651+0j),(-0.003768388779391764+0j),(-0.2389363929600936+0j)
3,(-0.04788826367881562+0j),(-0.054109414206411445+0j),(-0.20913294119503642+0j),(0.43727490913157446+0j),(0.5700234803134275+0j),(0.23501679080734908+0j),(0.06403884105324542+0j),(0.06811590337581595+0j),(-0.3399990246425998+0j),(0.19422341259282694+0j),(-0.3870955412492324+0j),(-0.1287187802260224+0j),(0.15835186297674347+0j),(0.12918078569638133+0j),(0.09376884815359907+0j),(-0.025365424115581375+0j)
4,(-0.27470603859208365+0j),(0.3304950106264331+0j),(-0.1787266633280044+0j),(0.3966418711098901+0j),(0.21208755432464202+0j),(-0.004559185923854676+0j),(0.3063141923354045+0j),(0.21800588643150912+0j),(0.39882970881100754+0j),(-0.11083305898941627+0j),(0.4115496952037641+0j),(-0.006108069211663134+0j),(-0.05776090192356556+0j),(-0.29029260114106453+0j),(0.04635049068100768+0j),(0.09576393166488942+0j)
5,(0.14628157534727762+0j),(-0.09231563693813717+0j),(0.5748196548017798+0j),(0.15998220584839898+0j),(-0.10017464737142294+0j),(0.4976294437256959+0j),(0.17321482539004268+0j),(0.0701983980471449+0j),(-0.0998606546994293+0j),(0.19161200332656775+0j),(0.09148048287772301+0j),(0.08095811922589578+0j),(-0.35466879321958655+0j),(-0.16296718543755667+0j),(0.3210866335550787+0j),(0.06641746337432453+0j)
6,(0.38647960785551994+0j),(-0.08988954556594218+0j),(-0.22402736317140057+0j),(0.06893934354994755+0j),(-0.14890178069971688+0j),(-0.04144515041362186+0j),(-0.3054269128666879+0j),(0.5929251370149837+0j),(-0.05601000382319404+0j),(-0.1032848718690839+0j),(0.12667811003677673+0j),(-0.005750666742294497+0j),(0.19237404322694165+0j),(-0.12750198810756075+0j),(0.4239953548798325+0j),(-0.236548815936588+0j)
7,(-0.563307583985259+0j),(-0.11125243524813758+0j),(0.05426751158430034+0j),(-0.01635170957674064+0j),(-0.11489495541977053+0j),(-0.025773151543155508+0j),(-0.2391286987325469+0j),(0.5791664970055539+0j),(-0.13680561720209822+0j),(0.22613971287843415+0j),(-0.015590877310702266+0j),(0.1486285869068051+0j),(-0.2535805795582933+0j),(0.17132667190027373+0j),(-0.27021612617229857+0j),(0.04186258122363945+0j)
8,(0.1279603745547232+0j),(-0.1277738738972699+0j),(0.069071576271147+0j),(0.2169139258600726+0j),(0.046168717146912744+0j),(0.12229652960400451+0j),(-0.46363635806792025+0j),(-0.08889809696505217+0j),(0.6611969388889442+0j),(0.3521686816675487+0j),(-0.1682495913771538+0j),(0.17375989929043612+0j),(0.16012387252635046+0j),(-0.0014871848659449437+0j),(-0.08765703270527014+0j),(0.1499922946417515+0j)
9,(0.0037268847519992057+0j),(0.39608092763332176+0j),(0.1809875383258315+0j),(-0.3478404236889714+0j),(0.30670106423749116+0j),(-0.15969292966508455+0j),(0.16587205363182891+0j),(0.14196985641959164+0j),(0.18567273432927806+0j),(0.1391094722015701+0j),(-0.2919005869579742+0j),(0.41534456770314543+0j),(-0.03915365341942048+0j),(0.05561314676261356+0j),(0.20594476238266884+0j),(-0.4043986385713024+0j)
10,(-0.0009348301975132213+0j),(-0.37044578343321904+0j),(0.01273072428655829+0j),(-0.42681478605988854+0j),(0.516546454039316+0j),(0.28375385497129196+0j),(-0.018704477848330382+0j),(0.05437702047877134+0j),(0.11502090518303654+0j),(-0.04707989022523394+0j),(0.49915062286162293+0j),(-0.028644757530586155+0j),(0.10101092941038897+0j),(0.2257166351991736+0j),(-0.03189075364842636+0j),(-0.04697327841788808+0j)
11,(0.11576707572422458+0j),(0.14436006473254048+0j),(0.12229187867033782+0j),(0.23018336496302147+0j),(-0.07889395390146658+0j),(-0.03836147287597619+0j),(0.05993197563023+0j),(0.09007056017258447+0j),(0.15604300003516758+0j),(-0.33128226974807257+0j),(0.004666864574564597+0j),(0.02040374868951662+0j),(-0.07974790411867391+0j),(0.8204870187024798+0j),(0.1664847025470405+0j),(0.19132898309027452+0j)
12,(0.19688123524904497+0j),(-0.034352077721223395+0j),(0.4137276938542454+0j),(0.11331634896535336+0j),(0.00946687213966193+0j),(-0.30393963003429075+0j),(0.2955252744151518+0j),(0.22385679929673916+0j),(-0.15181794800207998+0j),(0.20579595556039915+0j),(0.15538909276566346+0j),(0.11472646530136248+0j),(0.5727705549941197+0j),(0.0014934204738840402+0j),(-0.2804729338424076+0j),(0.19154252095141094+0j)
13,(0.042414283930637835+0j),(-0.05988974767906911+0j),(-0.39167965338586774+0j),(0.025184837310674963+0j),(-0.16282460350672343+0j),(0.2889495746190462+0j),(0.14468012246341252+0j),(-0.1003232060404158+0j),(-0.16711692391546595+0j),(-0.06198435813602696+0j),(0.06759077945516324+0j),(0.7888899817909835+0j),(0.10563935340250738+0j),(0.02119344837239494+0j),(-0.04261214596835128+0j),(0.1656971758165065+0j)
14,(-0.47842291951892363+0j),(-0.18115810337625243+0j),(0.09820123595103321+0j),(0.015519650211339706+0j),(-0.010981057385109037+0j),(-0.3015968869144101+0j),(-0.1184810766245097+0j),(-0.2612533971886035+0j),(-0.07932907086492827+0j),(0.10459031876558615+0j),(0.12012553090090934+0j),(0.10847946397499979+0j),(0.2390654205647085+0j),(0.010348337266173412+0j),(0.655814948747588+0j),(0.15573617614286914+0j)
