,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,(0.05893666951941854+0j),(-0.5010233079206589+0j),(0.13781310520934342+0j),(0.027012752378893688+0j),(-0.18877330893914493+0j),(0.03966129074454139+0j),(-0.39778975707556574+0j),(-0.01616052576228512+0j),(-0.18877330893914487+0j),(0.03966129074454135+0j),(-0.3977897570755658+0j),(-0.01616052576228498+0j),(0.4408592558908464+0j),(-0.16965275487386625+0j),(-0.30927552438835865+0j),(-0.12480871469589394+0j)
1,(-0.18793380396164944+0j),(0.10277252657449454+0j),(0.12467061853461485+0j),(-0.6142576428875458+0j),(-0.4221531749457576+0j),(-0.100521161282037+0j),(0.2151543328585095+0j),(-0.04601397566459391+0j),(-0.4221531749457575+0j),(-0.10052116128203702+0j),(0.21515433285850952+0j),(-0.04601397566459373+0j),(0.04780819067316749+0j),(0.09092902075184887+0j),(-0.2691804472573168+0j),(0.06927261558076094+0j)
2,(0.4096086138055018+0j),(0.1005103135793485+0j),(0.5238805266061409+0j),(-0.513663583022944+0j),(0.25172065369833796+0j),(-0.11266178142392887+0j),(-0.15066371580363852+0j),(0.12854925890313917+0j),(0.2517206536983378+0j),(-0.11266178142392863+0j),(-0.1506637158036384+0j),(0.1285492589031394+0j),(0.05056563254757662+0j),(0.08449696943082252+0j),(0.1962038532860927+0j),(-0.07116137410634954+0j)
3,(0.33144612394551537+0j),(-1.4441702526943323e-05+0j),(0.31198718109382434+0j),(0.3558091411514797+0j),(-0.22215738487542325+0j),(-0.21262550399758673+0j),(0.05444942703143915+0j),(-0.4152114534684659+0j),(-0.22215738487542322+0j),(-0.21262550399758687+0j),(0.054449427031439325+0j),(-0.4152114534684659+0j),(-0.047485491974868246+0j),(0.23332185452571552+0j),(0.21776855113629737+0j),(-0.14910606763966627+0j)
4,(-0.01096617394842943+0j),(-0.3439218016158293+0j),(0.2610391192775726+0j),(-0.0024188942584485846+0j),(-0.20023904594407255+0j),(0.1945630162290496+0j),(0.2458388019742767+0j),(-0.42048300292918656+0j),(0.36162845844594865+0j),(-0.03092497909664413+0j),(-0.1005756958904423+0j),(0.29607618314246237+0j),(-0.43495975479460425+0j),(-0.05909047785682846+0j),(-0.23351754000357272+0j),(0.14675476814928723+0j)
5,(-0.2780984936797701+0j),(-0.14148882566914459+0j),(-0.09710328687190846+0j),(-0.09465983377360634+0j),(0.4834190845535174+0j),(-0.25800105240811255+0j),(0.056005712745243866+0j),(-0.2834719805477735+0j),(-0.3436630012572595+0j),(-0.3978469354424051+0j),(-0.16948228258044976+0j),(0.21204140604561994+0j),(-0.16249650302758256+0j),(-0.19366769363812972+0j),(0.09226760701054865+0j),(-0.27929053829855743+0j)
6,(-0.25478162438004387+0j),(0.18722530784572367+0j),(0.21678910924651845+0j),(0.03720036276501991+0j),(0.2109616671305861+0j),(0.4025048548707223+0j),(-0.22047704384336428+0j),(-0.23441857837293256+0j),(0.20651947128314824+0j),(-0.4245772309400548+0j),(0.3413904605466566+0j),(-0.2195727797255973+0j),(0.2980832926348957+0j),(-0.14923045900005766+0j),(-0.17751481539986064+0j),(0.10613098055197631+0j)
7,(-0.014523379835166841+0j),(-0.014185495612409046+0j),(-0.17695356655215483+0j),(-0.2572324717163886+0j),(0.07494923428825347+0j),(0.5031696449405292+0j),(0.3017542230980415+0j),(-0.0033684026254604815+0j),(0.06010343564091816+0j),(0.007656258347135764+0j),(-0.41480496297360764+0j),(-0.49407097937191014+0j),(-0.07134720207909237+0j),(0.11678123077882464+0j),(0.04257689420456533+0j),(-0.33445671628509227+0j)
8,(-0.01096617394842955+0j),(-0.3439218016158293+0j),(0.26103911927757273+0j),(-0.002418894258448577+0j),(0.36162845844594865+0j),(-0.030924979096644233+0j),(-0.10057569589044234+0j),(0.29607618314246265+0j),(-0.20023904594407246+0j),(0.1945630162290493+0j),(0.2458388019742767+0j),(-0.4204830029291867+0j),(-0.4349597547946043+0j),(-0.059090477856828354+0j),(-0.23351754000357272+0j),(0.1467547681492872+0j)
9,(-0.2780984936797699+0j),(-0.14148882566914467+0j),(-0.09710328687190846+0j),(-0.09465983377360626+0j),(-0.34366300125725974+0j),(-0.3978469354424054+0j),(-0.16948228258044967+0j),(0.21204140604561994+0j),(0.4834190845535172+0j),(-0.25800105240811244+0j),(0.05600571274524395+0j),(-0.2834719805477734+0j),(-0.1624965030275826+0j),(-0.19366769363812986+0j),(0.09226760701054869+0j),(-0.2792905382985575+0j)
10,(-0.25478162438004415+0j),(0.18722530784572386+0j),(0.21678910924651856+0j),(0.037200362765019875+0j),(0.20651947128314818+0j),(-0.4245772309400546+0j),(0.3413904605466568+0j),(-0.2195727797255974+0j),(0.2109616671305861+0j),(0.40250485487072224+0j),(-0.2204770438433644+0j),(-0.23441857837293267+0j),(0.29808329263489575+0j),(-0.14923045900005752+0j),(-0.17751481539986075+0j),(0.10613098055197637+0j)
11,(-0.01452337983516664+0j),(-0.01418549561240906+0j),(-0.1769535665521549+0j),(-0.2572324717163885+0j),(0.06010343564091816+0j),(0.007656258347135715+0j),(-0.41480496297360747+0j),(-0.49407097937191+0j),(0.07494923428825355+0j),(0.503169644940529+0j),(0.3017542230980414+0j),(-0.003368402625460537+0j),(-0.07134720207909243+0j),(0.1167812307788248+0j),(0.042576894204565355+0j),(-0.3344567162850924+0j)
12,(0.5699645834681195+0j),(0.03403190891067315+0j),(-0.23737669109889667+0j),(0.002875510515906945+0j),(0.0820564056691256+0j),(-0.08759882487284144+0j),(0.2776015095826397+0j),(0.00985834847261323+0j),(0.08205640566912561+0j),(-0.08759882487284129+0j),(0.27760150958263974+0j),(0.009858348472613118+0j),(0.08469755376831867+0j),(-0.36521986393143147+0j),(-0.4420863197869122+0j),(-0.313836766469037+0j)
13,(-0.02294714998558792+0j),(0.569056979099994+0j),(0.2248625224335384+0j),(0.1195672355137074+0j),(-0.18724661646871432+0j),(0.1198604900748708+0j),(-0.2537088550295074+0j),(0.028438471229469492+0j),(-0.18724661646871432+0j),(0.11986049007487083+0j),(-0.25370885502950746+0j),(0.028438471229469603+0j),(-0.36882411280287314+0j),(-0.4487210245772227+0j),(-0.11525157725642479+0j),(-0.17582340699282756+0j)
14,(-0.20260616886914823+0j),(-0.18292635450902978+0j),(0.39326048051744084+0j),(0.1245812260596303+0j),(-0.07481950852737931+0j),(0.21129096832665167+0j),(0.31092259712609693+0j),(0.19316626116021174+0j),(-0.07481950852737929+0j),(0.21129096832665167+0j),(0.31092259712609693+0j),(0.19316626116021185+0j),(0.18434067742056237+0j),(-0.19998685915477987+0j),(0.3254368601713343+0j),(-0.45494310257475135+0j)
15,(-0.17879843199765752+0j),(0.15084225766561793+0j),(0.1426612040387351+0j),(0.22055582129539927+0j),(0.08359198932710121+0j),(-0.06755804838122256+0j),(-0.03185233428803306+0j),(0.18278460650989287+0j),(0.08359198932710114+0j),(-0.06755804838122254+0j),(-0.03185233428803312+0j),(0.1827846065098931+0j),(-0.047759840309168036+0j),(0.6105958465205061+0j),(-0.4884700031329293+0j),(-0.41305740782932765+0j)
