,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
0,-1.0,-1.0,-1.0,0.5,0.5,0.010511314492036013,0.3435767762932999,-0.489488685507964,0.1564232237067001
1,-1.0,-1.0,-0.9,0.5,0.5,0.028411217052989376,0.12032018588431734,-0.4715887829470106,0.37967981411568263
2,-1.0,-1.0,-0.8,0.5,0.5,0.1825314462337739,0.006735772249725285,-0.31746855376622607,0.49326422775027473
3,-1.0,-1.0,-0.7,0.5,0.5,0.4283538889427527,0.03563275062693823,-0.07164611105724727,0.4643672493730618
4,-1.0,-1.0,-0.6,0.5,0.5,0.6948714701916927,0.19866408041237166,0.1948714701916927,0.30133591958762834
5,-1.0,-1.0,-0.5,0.5,0.5,0.9050997481197381,0.44873764906864877,0.40509974811973815,0.05126235093135123
6,-1.0,-1.0,-0.3999999999999999,0.5,0.5,0.9983132116827412,0.7136184953566602,0.49831321168274123,-0.21361849535666022
7,-1.0,-1.0,-0.29999999999999993,0.5,0.5,0.9475868406207979,0.9167947547029871,0.4475868406207979,-0.4167947547029871
8,-1.0,-1.0,-0.19999999999999996,0.5,0.5,0.7675731230165596,0.999578124942121,0.26757312301655956,-0.49957812494212095
9,-1.0,-1.0,-0.09999999999999998,0.5,0.5,0.5102697986577039,0.9380562529563299,0.010269798657703944,-0.4380562529563299
10,-1.0,-1.0,0.0,0.5,0.5,0.25,0.75,-0.25,-0.25
11,-1.0,-1.0,0.10000000000000009,0.5,0.5,0.06194374704367034,0.48973020134229606,-0.43805625295632966,0.010269798657703944
12,-1.0,-1.0,0.20000000000000018,0.5,0.5,0.0004218750578790972,0.23242687698344033,-0.4995781249421209,0.26757312301655967
13,-1.0,-1.0,0.30000000000000004,0.5,0.5,0.08320524529701309,0.052413159379202635,-0.4167947547029869,0.44758684062079734
14,-1.0,-1.0,0.40000000000000013,0.5,0.5,0.2863815046433399,0.0016867883172585615,-0.2136184953566601,0.49831321168274145
15,-1.0,-1.0,0.5,0.5,0.5,0.5512623509313511,0.0949002518802621,0.05126235093135112,0.4050997481197379
16,-1.0,-1.0,0.6000000000000001,0.5,0.5,0.8013359195876286,0.30512852980830774,0.3013359195876286,0.19487147019169226
17,-1.0,-1.0,0.7000000000000002,0.5,0.5,0.9643672493730618,0.571646111057247,0.46436724937306184,-0.07164611105724705
18,-1.0,-1.0,0.8,0.5,0.5,0.9932642277502748,0.8174685537662261,0.4932642277502748,-0.31746855376622607
19,-1.0,-1.0,0.9000000000000001,0.5,0.5,0.8796798141156824,0.9715887829470102,0.3796798141156824,-0.47158878294701023
20,-1.0,-1.0,1.0,0.5,0.5,0.6564232237067,0.9894886855079641,0.15642322370670003,-0.4894886855079641
21,-1.0,-0.9,-1.0,0.5,0.6545084971874736,0.010511314492036013,0.3435767762932999,-0.489488685507964,0.3109317208941737
22,-1.0,-0.9,-0.9,0.5,0.6545084971874736,0.028411217052989376,0.12032018588431734,-0.4715887829470106,0.5341883113031562
23,-1.0,-0.9,-0.8,0.5,0.6545084971874736,0.1825314462337739,0.006735772249725285,-0.31746855376622607,0.6477727249377483
24,-1.0,-0.9,-0.7,0.5,0.6545084971874736,0.4283538889427527,0.03563275062693823,-0.07164611105724727,0.6188757465605353
25,-1.0,-0.9,-0.6,0.5,0.6545084971874736,0.6948714701916927,0.19866408041237166,0.1948714701916927,0.45584441677510196
26,-1.0,-0.9,-0.5,0.5,0.6545084971874736,0.9050997481197381,0.44873764906864877,0.40509974811973815,0.20577084811882485
27,-1.0,-0.9,-0.3999999999999999,0.5,0.6545084971874736,0.9983132116827412,0.7136184953566602,0.49831321168274123,-0.059109998169186606
28,-1.0,-0.9,-0.29999999999999993,0.5,0.6545084971874736,0.9475868406207979,0.9167947547029871,0.4475868406207979,-0.2622862575155135
29,-1.0,-0.9,-0.19999999999999996,0.5,0.6545084971874736,0.7675731230165596,0.999578124942121,0.26757312301655956,-0.34506962775464733
30,-1.0,-0.9,-0.09999999999999998,0.5,0.6545084971874736,0.5102697986577039,0.9380562529563299,0.010269798657703944,-0.28354775576885627
31,-1.0,-0.9,0.0,0.5,0.6545084971874736,0.25,0.75,-0.25,-0.09549150281252639
32,-1.0,-0.9,0.10000000000000009,0.5,0.6545084971874736,0.06194374704367034,0.48973020134229606,-0.43805625295632966,0.16477829584517756
33,-1.0,-0.9,0.20000000000000018,0.5,0.6545084971874736,0.0004218750578790972,0.23242687698344033,-0.4995781249421209,0.4220816202040333
